Source_orig,Target_orig,Source,Target
RPHA-0158,RPHA-0167,Pap Benedek,Batthyány Orbán
RPHA-1453,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-1296,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0233,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0185,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0165,RPHA-1301,Bornemisza Péter,Szkhárosi Horvát András
RPHA-1366,RPHA-0167,Szegedi Gergely,Batthyány Orbán
RPHA-0218,RPHA-0167,Bogáti Fazakas Miklós,Batthyány Orbán
RPHA-0170,RPHA-0322,Bogáti Fazakas Miklós,Ráskai Gáspár
RPHA-1338,RPHA-0171,Skarica Máté,Thordai Benedek
RPHA-0197,RPHA-0171,Bogáti Fazakas Miklós,Thordai Benedek
RPHA-1034,RPHA-0172,Sztárai Miklós,Békési Balázs
RPHA-0359,RPHA-0172,Pécsi János,Békési Balázs
RPHA-0173,RPHA-0996,Bogáti Fazakas Miklós,Chasee Miklós
RPHA-0175,RPHA-3020,Balassi Bálint,Dobó Jakab
RPHA-1110,RPHA-0182,Pap Benedek,György deák
RPHA-0185,RPHA-1110,Balassi Bálint,Pap Benedek
RPHA-0185,RPHA-0825,Balassi Bálint,Ládonyi Sára
RPHA-1110,RPHA-0185,Pap Benedek,Balassi Bálint
RPHA-0825,RPHA-0185,Ládonyi Sára,Balassi Bálint
RPHA-0186,RPHA-0185,Rimay János,Balassi Bálint
RPHA-0189,RPHA-1249,Illyefalvi István,Pataki Névtelen
RPHA-0194,RPHA-1243,Tatár Benedek,Tinódi Sebestyén
RPHA-0198,RPHA-0661,Bogáti Fazakas Miklós,Farkas András
RPHA-0198,RPHA-0249,Bogáti Fazakas Miklós,Dési János
RPHA-0199,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-0199,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-0199,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-0199,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-0199,RPHA-0202,Szegedi Gergely,Szegedi Gergely
RPHA-1471,RPHA-0199,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0513,RPHA-0199,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0202,RPHA-0199,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-0202,RPHA-1298,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-0202,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-0983,Szegedi Gergely,Sztárai Mihály
RPHA-0202,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-0202,RPHA-0549,Szegedi Gergely,Skarica Máté
RPHA-0211,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0211,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0211,RPHA-0549,Bogáti Fazakas Miklós,Skarica Máté
RPHA-1478,RPHA-0213,Úz Bálint,Bereki István
RPHA-0217,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0220,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-1492,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1491,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1359,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1331,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1330,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1303,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1128,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1119,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1093,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0984,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0908,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0724,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0709,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0559,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0534,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0400,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0386,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0378,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0319,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0316,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0305,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0226,RPHA-0291,Debreceni Szőr Gáspár,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0229,RPHA-0229,Rimay János,Rimay János
RPHA-0237,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-0239,RPHA-1496,Skarica Máté,Zeleméri László
RPHA-0239,RPHA-1298,Skarica Máté,Szegedi Gergely
RPHA-0239,RPHA-1209,Skarica Máté,Skarica Máté
RPHA-0239,RPHA-1024,Skarica Máté,Szegedi Gergely
RPHA-0239,RPHA-0668,Skarica Máté,Bereki István
RPHA-0242,RPHA-1243,Szegedi Gergely,Tinódi Sebestyén
RPHA-0242,RPHA-1219,Szegedi Gergely,Szkhárosi Horvát András
RPHA-0242,RPHA-0590,Szegedi Gergely,István deák
RPHA-0242,RPHA-0478,Szegedi Gergely,Sztárai Mihály
RPHA-1481,RPHA-0242,Majssai Benedek,Szegedi Gergely
RPHA-1432,RPHA-0242,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1091,RPHA-0242,Batizi András,Szegedi Gergely
RPHA-0723,RPHA-0242,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0590,RPHA-0242,István deák,Szegedi Gergely
RPHA-0284,RPHA-0242,Majssai Benedek,Szegedi Gergely
RPHA-0261,RPHA-0430,Bogáti Fazakas Miklós,Pesti György
RPHA-0275,RPHA-0281,Bogáti Fazakas Miklós,Dóczy Ilona
RPHA-0277,RPHA-0478,Szerémi Illés,Sztárai Mihály
RPHA-1263,RPHA-0280,Sztárai Mihály,Váradi Névtelen
RPHA-1159,RPHA-0280,Bogáti Fazakas Miklós,Váradi Névtelen
RPHA-0868,RPHA-0280,Sztárai Mihály,Váradi Névtelen
RPHA-0510,RPHA-0280,Eössi András,Váradi Névtelen
RPHA-0470,RPHA-0280,Hartyáni Imre,Váradi Névtelen
RPHA-1472,RPHA-0281,Bogáti Fazakas Miklós,Dóczy Ilona
RPHA-0564,RPHA-0281,B M,Dóczy Ilona
RPHA-0289,RPHA-1020,Decsi Gáspár,Sztárai Mihály
RPHA-0291,RPHA-1496,"Skarica Máté, Sztárai Mihály (?)",Zeleméri László
RPHA-0291,RPHA-1209,"Skarica Máté, Sztárai Mihály (?)",Skarica Máté
RPHA-0291,RPHA-0692,"Skarica Máté, Sztárai Mihály (?)",Ilosvai Selymes Péter
RPHA-0291,RPHA-0668,"Skarica Máté, Sztárai Mihály (?)",Bereki István
RPHA-1283,RPHA-0291,Sztárai Mihály,"Skarica Máté, Sztárai Mihály (?)"
RPHA-1209,RPHA-0291,Skarica Máté,"Skarica Máté, Sztárai Mihály (?)"
RPHA-1062,RPHA-0291,Dézsi András,"Skarica Máté, Sztárai Mihály (?)"
RPHA-1024,RPHA-0291,Szegedi Gergely,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0983,RPHA-0291,Sztárai Mihály,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0932,RPHA-0291,Sztárai Mihály,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0863,RPHA-0291,Sztárai Mihály,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0718,RPHA-0291,Bogáti Fazakas Miklós,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0688,RPHA-0291,Bogáti Fazakas Miklós,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0668,RPHA-0291,Bereki István,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0545,RPHA-0291,Bogáti Fazakas Miklós,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0513,RPHA-0291,Bogáti Fazakas Miklós,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0313,RPHA-0308,Bogáti Fazakas Miklós,Nemes Imre
RPHA-0311,RPHA-1360,Bogáti Fazakas Miklós,Tesini
RPHA-0314,RPHA-3006,Bogáti Fazakas Miklós,Eössi András
RPHA-0314,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0315,RPHA-0822,Tolnai György,Szeremlyéni Mihály
RPHA-0318,RPHA-0322,Istvánfi Pál,Ráskai Gáspár
RPHA-0320,RPHA-0628,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1253,RPHA-0320,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0323,RPHA-0539,Bogáti Fazakas Miklós,Dézsi András
RPHA-1052,RPHA-0324,Nagybáncsai Mátyás,Szendrői Névtelen
RPHA-0615,RPHA-0324,Bogáti Fazakas Miklós,Szendrői Névtelen
RPHA-0460,RPHA-0324,Bogáti Fazakas Miklós,Szendrői Névtelen
RPHA-0325,RPHA-0590,Bogáti Fazakas Miklós,István deák
RPHA-0332,RPHA-1261,Huszti Péter,Tinódi Sebestyén
RPHA-0332,RPHA-0692,Huszti Péter,Ilosvai Selymes Péter
RPHA-1230,RPHA-0332,Szkhárosi Horvát András,Huszti Péter
RPHA-1224,RPHA-0332,Sziráki Balázs,Huszti Péter
RPHA-0889,RPHA-0332,Móric Lőrinc,Huszti Péter
RPHA-0339,RPHA-1192,Bogáti Fazakas Miklós,Batizi András
RPHA-0355,RPHA-1024,Eössi András,Szegedi Gergely
RPHA-0358,RPHA-0661,Fekete Imre,Farkas András
RPHA-0364,RPHA-1313,Szerémi Illés,Szegedi Gergely
RPHA-1313,RPHA-0364,Szegedi Gergely,Szerémi Illés
RPHA-1257,RPHA-0364,Sztárai Mihály,Szerémi Illés
RPHA-1431,RPHA-0380,Bogáti Fazakas Miklós,Horvát Ilona
RPHA-0390,RPHA-1031,Bogáti Fazakas Miklós,Németi Ferenc
RPHA-0390,RPHA-0573,Bogáti Fazakas Miklós,Ghyczy János
RPHA-0399,RPHA-1309,Eössi András,Sztárai Mihály
RPHA-0419,RPHA-0525,Bogáti Fazakas Miklós,Kákonyi Péter
RPHA-0423,RPHA-0822,Dézsi András,Szeremlyéni Mihály
RPHA-0423,RPHA-0423,Dézsi András,Dézsi András
RPHA-0429,RPHA-1210,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0429,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0430,RPHA-0894,Pesti György,Sztárai Mihály
RPHA-0851,RPHA-0430,Valkai András,Pesti György
RPHA-0437,RPHA-1197,Czeglédi Nyíri János,Sztárai Mihály
RPHA-0446,RPHA-1031,Debreceni Szőr Gáspár,Németi Ferenc
RPHA-0456,RPHA-3020,Balassi Bálint,Dobó Jakab
RPHA-0458,RPHA-1031,Bogáti Fazakas Miklós,Németi Ferenc
RPHA-0458,RPHA-0573,Bogáti Fazakas Miklós,Ghyczy János
RPHA-0460,RPHA-1306,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0460,RPHA-1301,Bogáti Fazakas Miklós,Szkhárosi Horvát András
RPHA-0460,RPHA-1171,Bogáti Fazakas Miklós,Bornemisza Péter
RPHA-0460,RPHA-1052,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-0460,RPHA-0470,Bogáti Fazakas Miklós,Hartyáni Imre
RPHA-0461,RPHA-1266,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0461,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0613,RPHA-0461,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0470,RPHA-1306,Hartyáni Imre,Szegedi Gergely
RPHA-1306,RPHA-0470,Szegedi Gergely,Hartyáni Imre
RPHA-1264,RPHA-0470,Laskai István,Hartyáni Imre
RPHA-1263,RPHA-0470,Sztárai Mihály,Hartyáni Imre
RPHA-1052,RPHA-0470,Nagybáncsai Mátyás,Hartyáni Imre
RPHA-0941,RPHA-0470,Sztárai Mihály,Hartyáni Imre
RPHA-0868,RPHA-0470,Sztárai Mihály,Hartyáni Imre
RPHA-0605,RPHA-0470,Bogáti Fazakas Miklós,Hartyáni Imre
RPHA-0420,RPHA-0470,Frankovics Gergely,Hartyáni Imre
RPHA-0478,RPHA-1219,Sztárai Mihály,Szkhárosi Horvát András
RPHA-2004,RPHA-0478,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-1478,RPHA-0478,Úz Bálint,Sztárai Mihály
RPHA-1259,RPHA-0478,Sztárai Mihály,Sztárai Mihály
RPHA-1231,RPHA-0478,Barát István,Sztárai Mihály
RPHA-0889,RPHA-0478,Móric Lőrinc,Sztárai Mihály
RPHA-0651,RPHA-0478,Felnémeti Névtelen,Sztárai Mihály
RPHA-0590,RPHA-0478,István deák,Sztárai Mihály
RPHA-0569,RPHA-0478,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-0495,RPHA-0525,Körmendi Fráter Gáspár,Kákonyi Péter
RPHA-0500,RPHA-0937,Bornemisza Péter,Bornemisza Péter
RPHA-0513,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0518,RPHA-1355,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0518,RPHA-1015,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-0523,RPHA-1203,Bogáti Fazakas Miklós,Szkhárosi Horvát András
RPHA-0523,RPHA-0590,Bogáti Fazakas Miklós,István deák
RPHA-0525,RPHA-0707,Kákonyi Péter,Nagybáncsai Mátyás
RPHA-1481,RPHA-0525,Majssai Benedek,Kákonyi Péter
RPHA-0981,RPHA-0525,Keresztúri Mihály,Kákonyi Péter
RPHA-0683,RPHA-0525,Temesvári István,Kákonyi Péter
RPHA-0590,RPHA-0525,István deák,Kákonyi Péter
RPHA-0560,RPHA-0525,Szebeni Névtelen,Kákonyi Péter
RPHA-0284,RPHA-0525,Majssai Benedek,Kákonyi Péter
RPHA-0690,RPHA-0530,Csáktornyai Mátyás,Hegedűs Márton
RPHA-0619,RPHA-0538,Bogáti Fazakas Miklós,Hunyadi Ferenc
RPHA-0594,RPHA-0539,Bogáti Fazakas Miklós,Dézsi András
RPHA-0544,RPHA-0774,Bogáti Fazakas Miklós,Huszár Gál
RPHA-0549,RPHA-1496,Skarica Máté,Zeleméri László
RPHA-0549,RPHA-1298,Skarica Máté,Szegedi Gergely
RPHA-0549,RPHA-1209,Skarica Máté,Skarica Máté
RPHA-0549,RPHA-1024,Skarica Máté,Szegedi Gergely
RPHA-0549,RPHA-0668,Skarica Máté,Bereki István
RPHA-0931,RPHA-0549,Bogáti Fazakas Miklós,Skarica Máté
RPHA-0613,RPHA-0549,Bogáti Fazakas Miklós,Skarica Máté
RPHA-0552,RPHA-1052,Eössi András,Nagybáncsai Mátyás
RPHA-0556,RPHA-1309,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-0556,RPHA-1249,Bogáti Fazakas Miklós,Pataki Névtelen
RPHA-0560,RPHA-1243,Szebeni Névtelen,Tinódi Sebestyén
RPHA-0573,RPHA-1031,Ghyczy János,Németi Ferenc
RPHA-1031,RPHA-0573,Németi Ferenc,Ghyczy János
RPHA-0957,RPHA-0574,Dévai Mátyás,Szegedi András
RPHA-1325,RPHA-0576,Bogáti Fazakas Miklós,Szkhárosi Horvát András
RPHA-1455,RPHA-0590,Balassi Bálint,István deák
RPHA-1342,RPHA-0590,Szabó Pál,István deák
RPHA-1259,RPHA-0590,Sztárai Mihály,István deák
RPHA-1231,RPHA-0590,Barát István,István deák
RPHA-1224,RPHA-0590,Sziráki Balázs,István deák
RPHA-1169,RPHA-0590,Hegyi Pál,István deák
RPHA-1028,RPHA-0590,Varsányi György,István deák
RPHA-0595,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0599,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-0599,RPHA-0639,Bogáti Fazakas Miklós,Batizi András
RPHA-1383,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1353,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0548,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0604,RPHA-1249,Bogáti Fazakas Miklós,Pataki Névtelen
RPHA-0605,RPHA-1052,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-1052,RPHA-0605,Nagybáncsai Mátyás,Bogáti Fazakas Miklós
RPHA-0606,RPHA-1292,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0606,RPHA-0944,Bogáti Fazakas Miklós,Kecskeméti Vég Mihály
RPHA-0613,RPHA-1425,Bogáti Fazakas Miklós,Palatics György
RPHA-0613,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
